Nome do destino,Código do serviço,Valor,Prazo Final
Pedreira/SP,LGG,20.28,6
Pedreira/SP,LGG,15.58,5
São Paulo/SP,LGG,8.16,2
São Paulo/SP,LGG,6.89,3
São Paulo/SP,LGG,12.68,2
São Paulo/SP,LGG,11.52,4
Guarulhos/SP,LGG,16.88,2
Guarulhos/SP,LGG,10.12,3
Guarulhos/SP,LGG,22.77,2
Guarulhos/SP,LGG,19.16,4
São Paulo/SP,LGG,9.93,2
São Paulo/SP,LGG,8.18,3
São Paulo/SP,LGG,15.14,2
São Paulo/SP,LGG,12.7,4
Inhapim/MG,LGG,20.08,6
Inhapim/MG,LGG,13.16,7
Inhapim/MG,LGG,25.96,6
Inhapim/MG,LGG,23.73,7
Jaboticabal/SP,LGG,15.91,4
Jaboticabal/SP,LGG,10.36,5
Jaboticabal/SP,LGG,23.88,4
Jaboticabal/SP,LGG,19.28,6
Limeira/SP,LGG,15.08,3
Limeira/SP,LGG,10.06,4
Limeira/SP,LGG,22.75,3
Limeira/SP,LGG,17.41,5
Fortaleza/CE,LGG,17.6,8
Fortaleza/CE,LGG,14.04,9
Fortaleza/CE,LGG,22.06,8
Fortaleza/CE,LGG,19.84,10
São Paulo/SP,LGG,12.1,2
São Paulo/SP,LGG,9.24,4
São Paulo/SP,LGG,17.41,2
São Paulo/SP,LGG,14.78,4
Rio de Janeiro/RJ,LGG,15.96,3
Rio de Janeiro/RJ,LGG,11.36,4
Rio de Janeiro/RJ,LGG,23.2,3
Rio de Janeiro/RJ,LGG,17.49,2
Soledade de Minas/MG,LGG,56.55,6
Soledade de Minas/MG,LGG,13.09,7
Soledade de Minas/MG,LGG,26.8,8
Icém/SP,LGG,18.53,6
Icém/SP,LGG,10.18,8
Icém/SP,LGG,27.58,6
Icém/SP,LGG,21.44,8
Campinas/SP,LGG,13.23,2
Campinas/SP,LGG,9.06,3
Campinas/SP,LGG,18.58,2
Campinas/SP,LGG,15.66,4
Serra/ES,LGG,16.17,3
Serra/ES,LGG,13.3,6
Serra/ES,LGG,23.31,5
Serra/ES,LGG,18.06,5
Niterói/RJ,LGG,17.41,6
Niterói/RJ,LGG,13.48,7
Niterói/RJ,LGG,24.44,6
Niterói/RJ,LGG,18.52,6
Florianópolis/SC,LGG,19.96,4
Florianópolis/SC,LGG,9.55,4
Florianópolis/SC,LGG,17.78,3
Florianópolis/SC,LGG,21.72,5
