Código do Pedido;Cidade do destino;UF do destino;Código do serviço;Valor;Prazo Final
0012406578787;Rio de Janeiro;RJ;JET;10.3;4
0012406511191;São Paulo;SP;GFL;11.23;2
0012406274440;Bom Despacho;MG;JET;11.97;7
0012406309261;Itaúna;MG;GFL;14.52;8
0012406805166;Leopoldina;MG;JET;11.97;8
0012406929174;Cabo Frio;RJ;JET;10.88;6
0012406964664;Campanário;MG;JET;11.76;8
0012406749350;Feira de Santana;BA;JET;21.06;7
0012406807186;Cuiabá;MT;JET;12.65;9
0012406814078;Jequitaí;MG;JET;11.9;8
0012406852044;Três Corações;MG;GFL;12.99;6
0012406937806;Santana do Deserto;MG;GFL;13.43;6
0012406414240;Ituiutaba;MG;GFL;10.51;5
0012406173325;São Luís;MA;JET;15.75;12
0012406389524;Rondonópolis;MT;JET;15.66;10
0012406809041;Porto Alegre;RS;JET;10.05;3
0012406411015;Feira de Santana;BA;JET;14.74;7
0012406429541;João Pessoa;PB;JET;15.01;9
0012406830378;Nova Iguaçu;RJ;JET;14.79;6
0012406083308;Rio de Janeiro;RJ;JET;10.3;4
0012406796344;Goiânia;GO;JET;11.39;6
0012406015337;Lauro de Freitas;BA;JET;14.97;9
0012406480898;Cândido de Abreu;PR;RSU;10.94;5
0012406147145;Serra;ES;JET;12.04;7
0012406037257;Uberaba;MG;JET;10.85;7
0012406573953;Aparecida de Goiânia;GO;JET;11.59;6
0012406528716;Palmas;TO;JET;19.03;9
0012406373177;Altamira;PA;JET;41.48;17
0012406066477;Mogi das Cruzes;SP;GFL;9.91;2
0012406725537;Boa Vista;RR;JET;21.08;13
0012406308468;São Luís;MA;JET;15.75;12
0012406127789;Angra dos Reis;RJ;GFL;16.65;6
0012406273310;Belo Jardim;PE;JET;23.22;11
0012406665246;Ibirité;MG;GFL;11.17;5
0012406982324;Pirapora;MG;JET;15.51;9
0012406129776;Linhares;ES;JET;10.23;8
0012406176793;Goiânia;GO;JET;11.39;6
0012406540147;Natal;RN;JET;14.4;9
0012406059614;Pedrinhas;SE;JET;16.08;22
0012406616163;Amontada;CE;JET;18.14;15
0012406609868;Brasília;DF;JET;13.43;5
0012406080721;Belo Horizonte;MG;JET;10.35;5
0012406386224;Bauru;SP;JET;10.02;5
0012406011862;Varginha;MG;GFL;14.89;7
0012406452223;Cabo Frio;RJ;JET;10.88;6
0012406257753;Guarulhos;SP;GFL;11.82;2
0012406070959;Natal;RN;JET;14.4;9
0012406301598;Rio Formoso;PE;JET;16.37;10
0012406866193;Extremoz;RN;JET;16.54;13
0012406604051;Altamira;PA;JET;22.27;17
0012406411310;Belém;PA;JET;16.59;13
0012406516290;Brasília;DF;JET;12.14;5
0012406538507;Presidente Prudente;SP;JET;10.02;5
0012406000566;Cruzeiro do Oeste;PR;RSU;12.86;5
0012406338144;Rio de Janeiro;RJ;JET;13.76;5
0012406027638;Paulista;PE;JET;16.7;9
0012406234669;São Paulo;SP;S2C;11.93;3
0012406705059;São Paulo;SP;S2C;11.93;3
0012406662269;Itajaí;SC;RSU;10.88;4
0012406801751;Nova Iguaçu;RJ;JET;11.16;7
0012406531324;Pouso Alegre;MG;GFL;13.81;6
0012406978841;Rodelas;BA;JET;18.17;10
0012406236350;São Sebastião;SP;JET;13.22;6
0012406008181;Marília;SP;JET;10.18;5
0012406800686;São Paulo;SP;GFL;11.59;2
0012406761247;Queixada;MG;JET;12.17;8
0012406793251;Aparecida;PB;JET;16.84;14
